Table 2 from Chen & Kipping (2017), "Forecasted masses of seven thousand KOIs", MNRAS, submitted
Space-separated, plain-text, 7 columns
 
Column 1 = KOI number
Column 2 = Planet flag where the first letter gives the modal planet classification ("T"=Terran, "N"=Neptunian, "J"=Jovian, "S"=Stellar), and the second letter denotes NEA KOI disposition where "f" is a false-positive, "c" is a candidate and "v" is validated/confirmed.
Column 3 = Log-base-10 of the measured planetary radius in Earth radii, quoted as the [-2,-1,0,+1,+2] sigma quantiles
Column 4 = Log-base-10 of the forecasted planetary mass in Earth masses, quoted as the [-2,-1,0,+1,+2] sigma quantiles
Column 5 = Log-base-10 of the forecasted radial velocity semi-amplitude in meters per second, quoted as the [-2,-1,0,+1,+2] sigma quantiles
Column 6 = Log-base-10 of the forecasted planetary mean density in g/cm^3, quoted as the [-2,-1,0,+1,+2] sigma quantiles
Column 7 = Log-base-10 of the forecasted planetary surface density in cm/s^2, quoted as the [-2,-1,0,+1,+2] sigma quantiles

0001.01 Jv [1.08,1.10,1.11,1.13,1.15] [1.83,2.33,3.20,4.14,4.53] [1.51,2.02,2.88,3.82,4.19] [-0.77,-0.27,0.60,1.55,1.93] [2.59,3.09,3.96,4.91,5.29]	
0002.01 Jv [1.16,1.18,1.20,1.22,1.24] [1.86,2.23,2.95,4.51,4.67] [1.44,1.82,2.54,4.08,4.22] [-1.01,-0.63,0.09,1.63,1.79] [2.44,2.82,3.54,5.09,5.24]	
0003.01 Nv [0.66,0.67,0.69,0.70,0.71] [0.81,1.07,1.32,1.58,1.83] [0.45,0.71,0.96,1.21,1.46] [-0.49,-0.23,0.01,0.26,0.51] [2.43,2.69,2.94,3.19,3.44]	
0004.01 Jc [0.85,0.92,1.00,1.08,1.17] [1.34,1.72,3.04,4.13,4.46] [0.90,1.27,2.55,3.64,3.95] [-0.76,-0.39,0.64,1.83,2.22] [2.47,2.82,3.94,5.10,5.43]	
0005.01 Nc [0.83,0.85,0.87,0.89,0.91] [1.13,1.40,1.67,2.00,4.28] [0.64,0.91,1.18,1.51,3.77] [-0.73,-0.46,-0.19,0.14,2.37] [2.38,2.65,2.92,3.25,5.51]	
0006.01 Sf [1.21,1.38,1.60,1.91,2.10] [2.10,4.77,5.05,5.39,5.48] [1.83,4.46,4.69,4.96,5.03] [-1.05,0.23,0.89,1.30,1.56] [2.48,4.43,4.79,4.99,5.12]	
0007.01 Nv [0.58,0.60,0.62,0.65,0.67] [0.70,0.96,1.22,1.47,1.73] [0.31,0.57,0.82,1.07,1.32] [-0.42,-0.16,0.08,0.34,0.59] [2.45,2.71,2.96,3.21,3.46]	
0008.01 Nf [0.19,0.22,0.26,0.32,0.38] [0.26,0.44,0.66,0.90,1.17] [0.06,0.24,0.45,0.70,0.97] [0.15,0.37,0.60,0.84,1.09] [2.71,2.90,3.11,3.35,3.60]	
0009.01 Jf [0.99,1.06,1.15,1.27,1.37] [1.77,2.26,3.27,4.56,4.80] [1.32,1.80,2.83,4.08,4.24] [-1.07,-0.48,0.62,1.62,1.97] [2.41,2.92,4.00,5.10,5.30]	
0010.01 Jv [1.11,1.14,1.17,1.20,1.23] [1.85,2.27,3.03,4.23,4.63] [1.43,1.85,2.61,3.81,4.17] [-0.93,-0.50,0.27,1.50,1.85] [2.49,2.92,3.69,4.91,5.26]	
